Beauty,magnis dis parturient montes nascetur ridiculus mus,3,69.29,56
Industrial,in sagittis dui,2,40.37,94
Industrial,id lobortis convallis tortor risus dapibus augue,2,24.36,82
Industrial,quam a odio in hac,3,21.77,68
Shoes,fusce consequat nulla,2,22.84,100
Movies,in lectus pellentesque at,2,11.81,78
Grocery,natoque penatibus et magnis dis parturient montes,4,11.81,79
Grocery,sapien placerat ante,4,91.17,78
Tools,pretium iaculis diam erat fermentum justo nec,3,82.06,3
Clothing,convallis nunc proin,4,47.5,15
